海淀,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
海淀,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
朝阳,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
朝阳,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
朝阳,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
昌平,30日（周日）,22℃,多云转晴,西北风,3-4级转<3级
昌平,30日（周日）,22℃,多云转晴,西北风,3-4级转<3级
昌平,30日（周日）,22℃,多云转晴,西北风,3-4级转<3级
北京,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
北京,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
北京,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
北京,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
延庆,30日（周日）,18℃,多云转晴,北风,3-4级转<3级
通州,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
通州,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
顺义,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
顺义,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
顺义,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
顺义,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
海淀,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
朝阳,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
昌平,30日（周日）,22℃,多云转晴,西北风,3-4级转<3级
北京,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
通州,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
通州,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
延庆,30日（周日）,18℃,多云转晴,北风,3-4级转<3级
延庆,30日（周日）,18℃,多云转晴,北风,3-4级转<3级
延庆,30日（周日）,18℃,多云转晴,北风,3-4级转<3级
顺义,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
顺义,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
顺义,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
海淀,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
朝阳,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
昌平,30日（周日）,22℃,多云转晴,西北风,3-4级转<3级
通州,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
北京,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
延庆,30日（周日）,18℃,多云转晴,北风,3-4级转<3级
延庆,30日（周日）,18℃,多云转晴,北风,3-4级转<3级
房山,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
房山,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
石景,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
石景,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
大兴,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
大兴,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
丰台,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
怀柔,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
怀柔,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
怀柔,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
密云,30日（周日）,19℃,多云转晴,西北风,3-4级转<3级
门头,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
门头,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
门头,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
平谷,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
海淀,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
朝阳,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
朝阳,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
昌平,30日（周日）,22℃,多云转晴,西北风,3-4级转<3级
通州,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
北京,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
延庆,30日（周日）,18℃,多云转晴,北风,3-4级转<3级
房山,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
房山,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
石景,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
大兴,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
丰台,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
怀柔,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
怀柔,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
门头,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
密云,30日（周日）,19℃,多云转晴,西北风,3-4级转<3级
平谷,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
八达,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
八达,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
佛爷,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
佛爷,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
海淀,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
海淀,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
昌平,30日（周日）,22℃,多云转晴,西北风,3-4级转<3级
通州,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
房山,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
石景,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
大兴,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
怀柔,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
丰台,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
门头,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
门头,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
密云,30日（周日）,19℃,多云转晴,西北风,3-4级转<3级
密云,30日（周日）,19℃,多云转晴,西北风,3-4级转<3级
平谷,30日（周日）,20℃,多云转晴,西北风,3-4级转<3级
八达,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
八达,30日（周日）,22℃,多云转晴,西北风,4-5级转<3级
佛爷,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
佛爷,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
房山,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
石景,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
石景,30日（周日）,20℃,多云转晴,西北风,4-5级转<3级
大兴,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
大兴,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
大兴,30日（周日）,21℃,多云转晴,西北风,4-5级转<3级
